variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1459,9,23,105,118,0.21904761904761905,0.8898305084745762,3,1,15
1834,15,23,92,110,0.25,0.8363636363636363,3,1,19
922,14,23,78,103,0.2948717948717949,0.7572815533980582,3,1,12
148,13,24,140,145,0.17142857142857143,0.9655172413793104,3,0,22
599,17,24,139,184,0.17266187050359713,0.7554347826086957,3,0,13
1121,22,24,139,153,0.17266187050359713,0.9084967320261438,3,0,20
1860,29,24,137,145,0.17518248175182483,0.9448275862068966,3,4,15
1335,13,24,136,189,0.17647058823529413,0.7195767195767195,3,3,15
284,10,24,132,142,0.18181818181818182,0.9295774647887324,3,1,13
492,7,24,132,134,0.18181818181818182,0.9850746268656716,3,2,15
898,13,24,132,134,0.18181818181818182,0.9850746268656716,3,0,20
1079,4,24,128,139,0.1875,0.920863309352518,3,0,21
1039,8,24,125,131,0.192,0.9541984732824428,3,5,13
821,28,24,123,128,0.1951219512195122,0.9609375,3,3,18
164,14,24,117,123,0.20512820512820512,0.9512195121951219,3,0,22
557,7,24,116,123,0.20689655172413793,0.943089430894309,3,2,12
1326,9,24,109,115,0.22018348623853212,0.9478260869565217,3,1,15
191,26,24,89,107,0.2696629213483146,0.8317757009345794,3,0,23
540,10,25,140,153,0.17857142857142858,0.9150326797385621,3,1,19
932,23,25,134,135,0.1865671641791045,0.9925925925925926,3,0,18
800,20,25,130,136,0.19230769230769232,0.9558823529411765,3,3,17
787,17,25,129,133,0.1937984496124031,0.9699248120300752,3,1,13
1235,8,25,128,131,0.1953125,0.9770992366412213,3,1,23
1946,9,25,128,132,0.1953125,0.9696969696969697,3,1,15
459,30,25,121,129,0.2066115702479339,0.937984496124031,3,1,19
295,0,25,116,126,0.21551724137931033,0.9206349206349206,3,1,19
1925,2,25,114,120,0.21929824561403508,0.95,3,2,18
660,0,25,107,111,0.2336448598130841,0.963963963963964,3,6,13
225,29,25,90,108,0.2777777777777778,0.8333333333333334,3,0,18
947,30,26,142,144,0.18309859154929578,0.9861111111111112,3,2,19
1490,23,26,140,142,0.18571428571428572,0.9859154929577465,3,6,14
1358,10,26,135,151,0.1925925925925926,0.8940397350993378,3,2,18
1362,7,26,133,135,0.19548872180451127,0.9851851851851852,3,5,12
613,11,26,129,135,0.20155038759689922,0.9555555555555556,3,0,22
1229,9,26,124,126,0.20967741935483872,0.9841269841269841,3,3,13
1640,6,26,124,127,0.20967741935483872,0.9763779527559056,3,1,19
204,25,26,123,128,0.21138211382113822,0.9609375,3,4,15
467,20,26,122,125,0.21311475409836064,0.976,3,7,11
725,27,26,120,123,0.21666666666666667,0.975609756097561,3,4,15
359,4,26,118,128,0.22033898305084745,0.921875,3,5,12
360,3,26,115,119,0.22608695652173913,0.9663865546218487,3,0,15
564,2,26,115,152,0.22608695652173913,0.756578947368421,3,4,13
1865,29,26,115,120,0.22608695652173913,0.9583333333333334,3,3,13
858,12,26,113,125,0.23008849557522124,0.904,3,3,18
1277,7,26,113,120,0.23008849557522124,0.9416666666666667,3,0,18
991,2,26,109,121,0.23853211009174313,0.9008264462809917,3,2,20
1092,27,26,104,114,0.25,0.9122807017543859,3,5,13
184,19,26,103,121,0.2524271844660194,0.8512396694214877,3,1,22
946,11,26,98,126,0.2653061224489796,0.7777777777777778,3,1,23
520,11,26,96,113,0.2708333333333333,0.8495575221238938,3,0,16
1528,0,27,151,157,0.17880794701986755,0.9617834394904459,3,1,21
987,28,27,144,147,0.1875,0.9795918367346939,3,4,17
1905,16,27,137,140,0.19708029197080293,0.9785714285714285,3,3,19
795,17,27,133,140,0.20300751879699247,0.95,3,2,15
699,25,27,132,144,0.20454545454545456,0.9166666666666666,3,1,22
1029,10,27,132,148,0.20454545454545456,0.8918918918918919,3,4,13
1953,22,27,132,149,0.20454545454545456,0.8859060402684564,3,0,23
1313,21,27,130,139,0.2076923076923077,0.935251798561151,3,3,18
1592,27,27,129,132,0.20930232558139536,0.9772727272727273,3,0,22
612,15,27,128,131,0.2109375,0.9770992366412213,3,2,14
